sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
17,mouse,253.99636163529644,1.377972494356244,0.967|0.741|0.787|0.820|1.044|0.964|0.612,1.475|0.541|0.800|1.162|1.140|1.085|0.797
18,mouse,307.7494096891452,1.137288940224229,0.841|1.329|1.366|1.021|0.881|0.997|1.198,1.099|1.130|1.476|0.686|1.147|1.325|1.421
19,mouse,256.64950466372125,1.3637275492060372,1.285|1.421|0.657|0.552|1.297|0.748|1.224,1.327|0.667|1.453|1.026|1.087|1.340|0.570
20,mouse,241.51990735501926,1.4491559053371188,0.981|0.838|0.939|0.603|1.077|0.698|0.953,0.531|0.928|1.222|0.635|1.395|0.638|1.287
21,mouse,329.7190089704341,1.0615099235342675,0.616|1.295|1.136|1.259|0.657|1.361|1.492,1.169|0.620|1.117|1.302|0.558|0.934|1.167
22,mouse,300.1230488519644,1.1661883395454822,0.722|0.681|1.343|1.057|1.038|1.417|1.366,1.358|1.394|0.941|1.299|1.039|0.616|1.102
23,mouse,282.72408635324837,1.2379560741163527,1.444|1.275|0.560|0.988|1.020|0.883|0.916,0.940|1.008|1.134|1.035|0.670|1.304|0.549
24,mouse,226.14126188180387,1.5477051692712882,0.624|1.049|0.811|0.567|0.631|0.799|0.673,1.387|0.604|1.298|0.808|1.417|0.995|1.365
25,mouse,377.1789850827229,1.077654243093494,1.419|1.234|1.036|1.377|1.232|1.219|0.989,0.995|1.325|0.702|1.220|0.978|1.250|0.841
26,mouse,317.73237425471217,1.1015559897570284,0.582|1.034|1.296|1.459|0.667|1.355|0.753,1.005|1.318|1.353|0.831|1.312|0.642|0.855
27,mouse,279.4806312453102,1.252322919268035,1.407|1.357|0.924|0.800|0.564|0.729|0.843,0.524|1.047|0.631|1.095|1.389|1.412|1.228
28,mouse,270.0866097147422,1.2958806079637195,0.881|1.050|0.667|0.770|1.003|1.150|0.906,0.508|0.593|1.120|1.057|1.421|1.142|1.254
29,mouse,307.7494096891452,1.137288940224229,1.020|1.060|0.766|1.324|0.735|1.447|0.624,1.116|0.715|1.055|1.379|1.239|0.802|0.726
30,mouse,354.48695441537365,1.0128198697582105,1.220|1.282|1.112|1.498|0.620|0.822|1.275,0.613|1.028|0.976|1.104|0.535|1.154|0.650
31,mouse,274.9020250924902,1.273180871920617,0.776|0.606|1.445|0.743|1.371|1.309|1.181,0.514|1.148|0.764|1.233|0.820|1.069|0.748
32,mouse,289.2888448723028,1.2098634503328194,1.258|0.843|1.315|0.808|1.288|1.437|0.583,0.877|0.678|0.686|1.416|1.248|0.912|0.560
33,mouse,240.50387597930808,1.4552780015491829,0.546|1.190|1.351|0.756|1.022|0.517|0.721,1.496|0.573|0.538|0.908|0.886|1.018|1.081
34,mouse,260.70735401139865,1.3425014469852556,0.605|0.698|1.193|0.837|0.727|0.836|1.252,0.976|1.170|0.833|1.350|1.473|1.494|0.819
35,mouse,298.80191630915016,1.1713445627232144,1.472|0.671|1.171|0.878|1.089|1.182|1.241,1.467|1.079|0.756|1.476|1.447|1.216|1.308
36,mouse,264.5751311064591,1.3228756555322951,1.328|1.113|0.521|0.640|1.174|0.943|1.239,0.963|0.564|0.666|1.215|1.495|1.121|0.948
37,mouse,285.40424110098843,1.2263307603622988,1.095|0.951|1.266|0.954|0.715|0.867|0.934,0.633|1.111|0.603|0.847|1.170|0.877|1.420
38,mouse,263.8130327723738,1.3266971548823785,0.870|0.570|0.846|1.066|0.646|0.982|0.695,0.957|0.807|0.914|1.115|1.341|0.961|0.536
39,mouse,229.65435741401876,1.524029432496346,0.946|0.812|0.593|0.626|1.256|0.755|1.051,0.860|0.981|0.811|1.080|0.506|0.896|1.435
40,mouse,281.7272142800064,1.2423364952316527,1.246|0.641|1.203|1.366|0.758|0.647|0.745,1.484|0.500|0.504|0.974|1.091|1.477|0.751
41,mouse,282.72408635324837,1.2379560741163527,1.140|1.484|0.778|1.127|0.840|0.661|0.818,1.366|0.537|1.287|1.337|1.212|0.922|1.122
42,mouse,307.2893918338351,1.1389914826257992,1.295|0.935|0.614|1.089|0.782|1.382|1.477,1.446|1.482|1.197|1.193|0.724|0.817|1.460
43,mouse,275.8338734308349,1.2688796906873085,0.839|0.663|0.794|1.009|0.854|1.147|1.033,1.103|1.345|1.081|1.142|1.469|0.754|0.735
44,mouse,233.99102747091177,1.4957838502739584,0.502|0.716|0.906|0.822|1.115|0.650|1.336,1.080|0.813|1.257|1.402|0.941|1.047|1.142
45,mouse,279.1377801341157,1.2538610854891714,0.997|0.797|1.323|0.718|0.910|1.036|1.400,1.171|1.372|0.730|1.468|0.544|0.673|1.093
46,mouse,288.16703706970225,1.2145733375998224,0.568|0.856|1.185|1.351|1.488|0.845|1.435,0.891|1.092|1.369|1.348|0.680|1.105|0.864
47,mouse,317.73237425471217,1.1015559897570284,1.219|0.976|1.010|1.208|1.070|1.086|1.096,0.647|1.282|0.925|1.430|0.861|1.053|1.329
48,mouse,260.70735401139865,1.3425014469852556,1.032|1.131|0.854|0.935|0.595|0.545|0.889,1.056|1.415|1.465|0.960|0.590|1.135|1.312
49,mouse,282.0961309898818,1.2407118054822022,1.232|1.377|0.500|0.900|1.429|0.957|1.201,1.396|1.180|0.787|0.640|1.110|1.182|1.343
50,mouse,288.16703706970225,1.2145733375998224,1.304|0.598|0.752|1.427|1.331|1.001|0.828,0.698|0.520|0.869|0.870|0.993|1.257|1.492
51,mouse,298.80191630915016,1.1713445627232144,1.011|0.896|1.022|1.468|0.603|0.775|1.141,0.651|0.632|0.982|0.694|0.658|1.426|1.234
