sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
83,worm,233.85016772673953,1.4539224123939887,0.533|1.361|0.521|1.219|0.545|1.129|0.615|0.952,1.277|0.541|1.334|1.220|0.947|1.323|1.321|1.104
84,worm,414.7924878440248,1.2199779054236022,1.161|0.828|1.250|1.074|0.685|1.352|1.048|0.672,0.768|1.488|0.707|1.354|1.417|0.540|1.394|1.261
85,worm,245.6102541752714,1.3843070239134665,0.808|1.401|1.336|1.377|0.789|0.737|0.849|0.728,0.892|1.223|1.380|0.795|0.709|1.278|1.491|0.812
86,worm,324.284724973861,1.0484613483641751,0.824|0.546|1.456|0.945|1.424|0.931|0.582|1.267,0.958|1.293|1.395|0.895|0.985|0.723|0.558|1.464
87,worm,371.4368928288382,1.092461449496583,1.229|0.511|1.299|0.568|0.593|1.106|0.694|1.183,0.796|0.667|1.205|1.456|1.496|1.463|0.964|1.038
88,worm,277.52120369347983,1.225131613278557,1.325|1.412|1.115|1.179|0.702|1.217|1.275|1.250,1.152|0.685|1.066|0.811|0.860|1.144|1.079|1.131
89,worm,381.99956180068807,1.1235281229432001,1.214|0.986|1.075|1.049|1.454|1.449|1.178|1.070,0.637|0.656|0.671|1.295|0.931|0.615|0.841|1.474
90,worm,260.15285530564296,1.3069239605329255,0.930|1.320|0.978|0.595|1.296|0.686|0.935|0.827,1.171|0.741|1.074|0.937|0.728|1.178|1.415|0.554
91,worm,238.74856534702027,1.4240923270295305,1.079|1.094|1.380|0.890|1.012|0.551|1.020|0.618,1.353|1.032|0.886|0.787|0.572|0.912|1.351|0.673
92,worm,311.9110775455778,1.0900542637839392,0.762|0.810|0.812|0.704|1.319|1.387|1.202|1.445,0.825|1.030|0.608|1.161|0.915|1.205|0.601|1.251
93,worm,340.6498003711818,1.0019111775622995,1.185|0.640|1.140|1.309|1.148|0.511|0.624|1.154,0.909|1.432|0.903|1.430|1.163|1.181|0.678|0.957
94,worm,381.021483312173,1.1206514215063912,0.800|1.260|0.897|0.804|1.212|1.087|1.093|0.569,1.293|1.113|1.039|1.190|1.280|0.682|1.081|0.763
95,worm,346.8550930289349,1.0201620383203969,0.636|0.645|1.422|1.010|1.276|1.436|1.036|1.453,1.335|0.760|1.185|0.587|0.977|0.897|0.697|1.307
96,worm,322.6920957422923,1.0536359721420947,0.745|1.043|0.515|0.654|0.758|0.852|1.321|0.653,0.692|1.404|0.587|1.376|1.425|1.459|1.065|1.437
97,worm,439.91034248066273,1.2938539484725375,0.641|1.431|1.208|0.784|1.181|0.841|0.854|0.812,0.623|1.264|0.873|0.672|1.471|0.509|1.000|0.977
98,worm,337.58890913724105,1.0071420914535398,1.397|1.015|0.503|1.446|0.824|1.309|0.653|0.988,0.569|0.770|0.967|0.665|1.105|0.714|1.274|1.071
99,worm,313.98681251772183,1.082848025602381,0.988|1.337|0.988|0.907|1.250|1.201|0.593|0.790,0.848|0.902|1.000|0.681|0.850|0.668|0.529|0.526
