anesthetic,genotype,dose_label,dose_multiplier,complex_i_relative_rate,ATP_steady_state,K_ATP_open_fraction,V_shift_mV
ketamine,WT,0.5×,0.5,0.85015,0.8847307692307692,0.05349133851787846,-2.89930491023306
ketamine,WT,1×,1.0,0.7003,0.7694615384615384,0.061015676335304615,-3.2627792186062083
ketamine,WT,2×,2.0,0.40060000000000007,0.538923076923077,0.0849007314524556,-4.3546225993747205
ketamine,WT,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
ketamine,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
ketamine,gas-1,0.5×,0.5,0.34006000000000003,0.4923538461538462,0.09219073554023771,-4.6703230905563675
ketamine,gas-1,1×,1.0,0.28012000000000004,0.4462461538461538,0.10075644841269843,-5.031478996800497
ketamine,gas-1,2×,2.0,0.16024000000000005,0.35403076923076926,0.12375295103190923,-5.95201758134424
ketamine,gas-1,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
propofol,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
propofol,WT,0.5×,0.5,0.8617,0.8936153846153846,0.052987690551887186,-2.874622245153682
propofol,WT,1×,1.0,0.7234,0.7872307692307693,0.05972069092245497,-3.2009192383453704
propofol,WT,2×,2.0,0.4468000000000001,0.5744615384615386,0.08006898250800688,-4.14100658313867
propofol,WT,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
propofol,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
propofol,gas-1,0.5×,0.5,0.34468000000000004,0.4959076923076923,0.09159057603426897,-4.644626524390244
propofol,gas-1,1×,1.0,0.28936,0.4533538461538461,0.09933370010391834,-4.9722066398082525
propofol,gas-1,2×,2.0,0.17872000000000005,0.36824615384615383,0.11954682557198558,-5.788754972392091
propofol,gas-1,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
sevoflurane,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
sevoflurane,WT,0.5×,0.5,0.8552500000000001,0.8886538461538462,0.05326777299733661,-2.8883540085169406
sevoflurane,WT,1×,1.0,0.7105,0.7773076923076923,0.06043700604370062,-3.2351721277478234
sevoflurane,WT,2×,2.0,0.42100000000000004,0.5546153846153846,0.08269720101781171,-4.257641921397379
sevoflurane,WT,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
sevoflurane,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
sevoflurane,gas-1,0.5×,0.5,0.34210000000000007,0.493923076923077,0.09192476311695658,-4.658941584040138
sevoflurane,gas-1,1×,1.0,0.2842,0.4493846153846154,0.10012322858903266,-5.005133470225873
sevoflurane,gas-1,2×,2.0,0.16840000000000002,0.36030769230769233,0.12185976752905887,-5.878806150135665
sevoflurane,gas-1,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
