organism,subset,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,nachr_antagonism,500.0,443,0.0,20.690104166666668,6.417777777777777
worm,nachr_antagonism,1000.0,42,0.0,19.315104166666668,5.979722222222223
worm,nachr_antagonism,1000.0,137,0.0,18.479166666666668,5.808194444444444
worm,nachr_antagonism,3000.0,137,0.0,17.861979166666668,5.58625
worm,nachr_antagonism,3000.0,219,0.0,18.984375,5.933888888888889
worm,nachr_antagonism,3000.0,331,0.0,18.424479166666668,5.749305555555556
worm,nachr_antagonism,3000.0,443,0.0,18.6015625,5.7925
worm,nachr_antagonism,1000.0,219,0.0,19.744791666666668,6.185
worm,nachr_antagonism,1000.0,331,0.0,18.783854166666668,5.879722222222222
worm,nachr_antagonism,1000.0,443,0.0,19.630208333333332,6.111944444444444
worm,nachr_antagonism,3000.0,42,0.0,18.520833333333332,5.75375
worm,glucl_potentiation,10.0,42,0.0,23.4296875,7.344305555555556
worm,glucl_potentiation,10.0,137,0.0,22.700520833333332,7.192083333333334
worm,glucl_potentiation,10.0,219,0.0,23.286458333333332,7.3348611111111115
worm,glucl_potentiation,10.0,331,0.0,23.1875,7.289166666666667
worm,glucl_potentiation,30.0,331,0.0,23.059895833333332,7.246944444444445
worm,glucl_potentiation,30.0,443,0.0,23.765625,7.4625
worm,glucl_potentiation,100.0,42,0.0,23.0625,7.19625
worm,glucl_potentiation,100.0,137,0.0,22.177083333333332,6.992916666666667
worm,glucl_potentiation,350.0,42,0.0,22.091145833333332,6.884027777777778
worm,glucl_potentiation,350.0,137,0.0,20.703125,6.536527777777778
worm,glucl_potentiation,350.0,219,0.0,21.71875,6.825277777777778
worm,glucl_potentiation,350.0,331,0.0,21.1875,6.639583333333333
worm,glucl_potentiation,10.0,443,0.0,24.169270833333332,7.5744444444444445
worm,glucl_potentiation,30.0,42,0.0,23.403645833333332,7.331111111111111
worm,glucl_potentiation,30.0,137,0.0,22.5,7.122361111111111
worm,glucl_potentiation,30.0,219,0.0,23.361979166666668,7.357916666666667
worm,glucl_potentiation,350.0,443,0.0,22.0,6.9006944444444445
worm,glucl_potentiation,500.0,42,0.0,21.606770833333332,6.728472222222222
worm,glucl_potentiation,500.0,137,0.0,20.036458333333332,6.345833333333333
worm,glucl_potentiation,500.0,219,0.0,21.5859375,6.770416666666667
worm,glucl_potentiation,1000.0,219,0.0,21.080729166666668,6.615
worm,glucl_potentiation,1000.0,331,0.0,20.427083333333332,6.3875
worm,glucl_potentiation,1000.0,443,0.0,21.40625,6.666111111111111
worm,glucl_potentiation,3000.0,42,0.0,20.125,6.268888888888889
worm,glucl_potentiation,3000.0,137,0.0,19.3359375,6.079583333333333
worm,glucl_potentiation,3000.0,219,0.0,20.7421875,6.50125
worm,glucl_potentiation,3000.0,331,0.0,19.9296875,6.233194444444444
worm,glucl_potentiation,3000.0,443,0.0,21.041666666666668,6.525833333333333
worm,glucl_potentiation,100.0,219,0.0,22.9296875,7.212361111111111
worm,glucl_potentiation,100.0,331,0.0,22.403645833333332,7.034583333333333
worm,glucl_potentiation,100.0,443,0.0,23.098958333333332,7.244583333333333
worm,glucl_potentiation,200.0,42,0.0,22.463541666666668,7.01875
worm,glucl_potentiation,200.0,137,0.0,21.455729166666668,6.766388888888889
worm,glucl_potentiation,200.0,219,0.0,22.276041666666668,7.002083333333333
worm,glucl_potentiation,200.0,331,0.0,21.8828125,6.861111111111111
worm,glucl_potentiation,200.0,443,0.0,22.7890625,7.1338888888888885
worm,glucl_potentiation,500.0,331,0.0,20.90625,6.552083333333333
worm,glucl_potentiation,500.0,443,0.0,21.877604166666668,6.834027777777778
worm,glucl_potentiation,1000.0,42,0.0,20.955729166666668,6.509444444444444
worm,glucl_potentiation,1000.0,137,0.0,19.677083333333332,6.209583333333334
worm,gaba_potentiation|k2p_potentiation,10.0,42,0.0,23.473958333333332,7.344722222222222
worm,gaba_potentiation|k2p_potentiation,10.0,137,0.0,22.4296875,7.09875
worm,gaba_potentiation|k2p_potentiation,10.0,219,0.0,23.296875,7.343055555555556
worm,gaba_potentiation|k2p_potentiation,10.0,331,0.0,22.908854166666668,7.201944444444444
worm,gaba_potentiation|k2p_potentiation,100.0,219,0.0,21.072916666666668,6.605972222222222
worm,gaba_potentiation|k2p_potentiation,100.0,331,0.0,20.283854166666668,6.341805555555555
worm,gaba_potentiation|k2p_potentiation,100.0,443,0.0,21.2890625,6.622777777777777
worm,gaba_potentiation|k2p_potentiation,200.0,42,0.0,19.317708333333332,5.985277777777778
worm,gaba_potentiation|k2p_potentiation,200.0,137,0.0,18.104166666666668,5.691527777777778
worm,gaba_potentiation|k2p_potentiation,200.0,219,0.0,19.552083333333332,6.122638888888889
worm,gaba_potentiation|k2p_potentiation,200.0,331,0.0,18.716145833333332,5.85
worm,gaba_potentiation|k2p_potentiation,200.0,443,0.0,19.4453125,6.049305555555556
worm,gaba_potentiation|k2p_potentiation,10.0,443,0.0,23.6328125,7.4158333333333335
worm,gaba_potentiation|k2p_potentiation,30.0,42,0.0,22.875,7.143194444444444
worm,gaba_potentiation|k2p_potentiation,30.0,137,0.0,21.934895833333332,6.908333333333333
worm,gaba_potentiation|k2p_potentiation,30.0,219,0.0,22.690104166666668,7.133194444444444
worm,gaba_potentiation|k2p_potentiation,350.0,42,0.0,17.609375,5.450555555555556
worm,gaba_potentiation|k2p_potentiation,350.0,137,0.0,16.833333333333332,5.249583333333334
worm,gaba_potentiation|k2p_potentiation,350.0,219,0.0,18.265625,5.690972222222222
worm,gaba_potentiation|k2p_potentiation,350.0,331,0.0,17.080729166666668,5.320694444444444
worm,gaba_potentiation|k2p_potentiation,30.0,331,0.0,22.0625,6.924444444444444
worm,gaba_potentiation|k2p_potentiation,30.0,443,0.0,22.747395833333332,7.145694444444445
worm,gaba_potentiation|k2p_potentiation,100.0,42,0.0,20.815104166666668,6.469305555555556
worm,gaba_potentiation|k2p_potentiation,100.0,137,0.0,19.619791666666668,6.192361111111111
worm,gaba_potentiation|k2p_potentiation,500.0,331,0.0,16.190104166666668,5.039305555555556
worm,gaba_potentiation|k2p_potentiation,500.0,443,0.0,16.8046875,5.196111111111111
worm,gaba_potentiation|k2p_potentiation,1000.0,42,0.0,15.666666666666666,4.8175
worm,gaba_potentiation|k2p_potentiation,1000.0,137,0.0,14.973958333333334,4.634166666666666
worm,gaba_potentiation|k2p_potentiation,350.0,443,0.0,17.7734375,5.502361111111111
worm,gaba_potentiation|k2p_potentiation,500.0,42,0.0,17.143229166666668,5.281527777777778
worm,gaba_potentiation|k2p_potentiation,500.0,137,0.0,16.190104166666668,5.050416666666667
worm,gaba_potentiation|k2p_potentiation,500.0,219,0.0,17.473958333333332,5.428055555555556
worm,gaba_potentiation|k2p_potentiation,1000.0,219,0.0,15.828125,4.8869444444444445
worm,gaba_potentiation|k2p_potentiation,1000.0,331,0.0,15.028645833333334,4.666111111111111
worm,gaba_potentiation|k2p_potentiation,1000.0,443,0.0,15.286458333333334,4.712916666666667
