organism,subset,anesthetic,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,200.0,42,0.0,8.5390625,2.4291666666666667
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,1000.0,219,0.6666666666666666,2.5338541666666665,0.7380555555555556
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,1000.0,331,0.75,2.5755208333333335,0.7365277777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,1000.0,443,0.875,1.8723958333333333,0.6340277777777777
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,3000.0,42,0.9166666666666666,1.5078125,0.49722222222222223
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,42,0.0,21.848958333333332,6.773611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,137,0.0,20.822916666666668,6.578055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,219,0.0,21.966145833333332,6.87
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,331,0.0,21.486979166666668,6.695833333333334
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,3000.0,137,0.9791666666666666,1.2734375,0.4543055555555556
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,3000.0,219,0.8125,1.7317708333333333,0.5345833333333333
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,3000.0,331,0.9166666666666666,1.6276041666666667,0.5040277777777777
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,3000.0,443,1.0,1.0338541666666667,0.4320833333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,443,0.0,22.247395833333332,6.925972222222223
