organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,10000.0,137,0.0,18.471354166666668,5.805
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,10000.0,219,0.0,19.861979166666668,6.223055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,10000.0,331,0.0,18.947916666666668,5.9325
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,10000.0,137,0.0,19.005208333333332,5.958055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,10000.0,219,0.0,20.252604166666668,6.36125
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,10000.0,331,0.0,19.489583333333332,6.097777777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,10000.0,443,0.0,20.361979166666668,6.332083333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30000.0,443,0.0,19.234375,5.978611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30.0,42,0.0,22.247395833333332,6.907916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30.0,137,0.0,21.135416666666668,6.660138888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30.0,219,0.0,22.1640625,6.941388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30000.0,42,0.0,19.109375,5.922361111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30000.0,137,0.0,17.955729166666668,5.635555555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30000.0,219,0.0,19.354166666666668,6.053472222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30000.0,331,0.0,18.515625,5.784722222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30.0,331,0.0,21.666666666666668,6.776805555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30.0,443,0.0,22.5078125,7.029861111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,100.0,42,0.0,18.674479166666668,5.765
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,100.0,137,0.0,17.9375,5.585138888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,10000.0,443,0.0,19.859375,6.179861111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30000.0,42,0.0,18.640625,5.78375
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30000.0,137,0.0,17.864583333333332,5.5881944444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30000.0,219,0.0,18.9453125,5.924722222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30000.0,331,0.0,18.453125,5.756666666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30000.0,443,0.0,18.635416666666668,5.8025
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30.0,42,0.0,23.416666666666668,7.349583333333333
