match_level,ensemble_id,organism,n_active,active_classes,predicted_EC50_uM,published_EC50_uM,fold_error
2,34,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,35,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,676.5946320933537,340.0,1.9899842120392754
2,36,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,37,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,38,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,39,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,527.7483535855492,340.0,1.5522010399574977
2,40,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,41,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,42,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,43,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,44,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,416.1415249821913,340.0,1.2239456617123274
2,45,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,491.57945134810126,340.0,1.4458219157297096
2,46,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,316.13989755644366,340.0,1.0754732402584408
2,47,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,48,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,49,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,459.1752715526735,340.0,1.3505155045666868
2,0,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,490.3665150904413,350.0,1.4010471859726894
2,1,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,396.79901538437616,350.0,1.133711472526789
2,2,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,347.0888086937532,350.0,1.0083874536813875
2,4,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,284.8883822614401,350.0,1.2285513267396333
2,3,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,378.32482130913183,350.0,1.080928060883234
2,5,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,324.8351153130023,350.0,1.0774697177143227
2,6,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,464.52180811892555,350.0,1.327205166054073
2,7,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,273.12282764152627,350.0,1.28147472337748
2,8,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,391.43958081903935,350.0,1.1183988023401124
2,9,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,327.5572548637749,350.0,1.0685154879123608
2,10,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,395.02453132996396,350.0,1.1286415180856113
2,11,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,282.63246627624886,350.0,1.238357378440399
2,13,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,302.8057228445339,350.0,1.1558566222333142
2,12,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,281.9466767981571,350.0,1.2413694815440637
2,14,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,267.961630678376,350.0,1.3061571506112062
2,15,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,390.024468442022,350.0,1.114355624120063
2,16,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,275.6125503791534,350.0,1.2698986295018628
2,17,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,298.00909912604163,350.0,1.1744607833332266
2,18,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,303.79210969197356,350.0,1.1521036552097366
2,19,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,256.8961192663111,350.0,1.36241840086799
2,20,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,272.3453430971028,350.0,1.2851330447578464
2,21,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,385.7571935140749,350.0,1.102163410040214
2,22,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,275.91599256214374,350.0,1.2685020420524211
2,23,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,388.26695763397674,350.0,1.1093341646685049
2,24,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,281.1681990950517,350.0,1.2448064935027698
2,25,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,319.6365753396114,350.0,1.0949935864759146
2,26,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,281.24684385651017,350.0,1.244458409561983
2,27,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,295.1888455636392,350.0,1.1856816585725094
2,28,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,253.23044595409422,350.0,1.3821402820711701
2,29,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,227.57036140080947,350.0,1.5379858688344774
2,30,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,281.1681990950517,350.0,1.2448064935027698
2,31,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,290.4392866781851,350.0,1.2050711320876153
2,32,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,294.1998473381251,350.0,1.1896675105944006
2,33,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,321.1275569512817,350.0,1.0899095777479433
2,34,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,216.64552209103167,350.0,1.6155422767193615
2,35,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,381.99956180068807,350.0,1.0914273194305373
2,36,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,262.81836541889,350.0,1.3317181980116062
2,37,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,286.2091918664459,350.0,1.2228817590293217
2,38,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,427.47135903446195,350.0,1.2213467400984628
2,39,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,253.49170789593865,350.0,1.380715775301333
2,40,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,468.13673238601774,350.0,1.3375335211029078
2,41,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,242.68511971391735,350.0,1.4421980235648062
2,42,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,310.2906701828316,350.0,1.127974617457143
2,43,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,419.51588008245955,350.0,1.1986168002355988
2,44,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,419.5548178256186,350.0,1.1987280509303389
2,45,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,504.8367666142552,350.0,1.442390761755015
2,46,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,265.44750984173,350.0,1.318528096981145
2,48,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,412.2594156674299,350.0,1.1778840447640855
2,47,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,441.3207203017009,350.0,1.2609163437191453
2,49,mouse,7,complex_i_block|complex_ii_block|gaba_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,268.6071790895172,350.0,1.3030180398989166
