anesthetic,cmd_rate,dose_uM,organism,perm,qf,seed
halothane,1.3508814589665652,100.0,fly,P1_ER,0.0,331
halothane,1.3384802431610945,100.0,fly,P1_ER,0.0,137
halothane,1.3457142857142859,100.0,fly,P1_ER,0.0,219
halothane,1.1629179331306991,200.0,fly,P1_ER,0.0,42
halothane,1.3511246200607903,100.0,fly,P1_ER,0.0,443
halothane,1.1451367781155015,200.0,fly,P1_ER,0.0,137
halothane,1.1551975683890578,200.0,fly,P1_ER,0.0,219
halothane,1.1567173252279634,200.0,fly,P1_ER,0.0,331
halothane,1.1606990881458965,200.0,fly,P1_ER,0.0,443
halothane,1.033677811550152,300.0,fly,P1_ER,0.3,137
halothane,1.051671732522796,300.0,fly,P1_ER,0.14,42
halothane,1.044741641337386,300.0,fly,P1_ER,0.21,219
halothane,1.0498784194528878,300.0,fly,P1_ER,0.16,443
halothane,0.9255623100303951,500.0,fly,P1_ER,0.94,42
halothane,1.0476595744680852,300.0,fly,P1_ER,0.19,331
halothane,0.9204863221884498,500.0,fly,P1_ER,0.9,219
halothane,0.915531914893617,500.0,fly,P1_ER,0.92,137
halothane,0.9284194528875379,500.0,fly,P1_ER,0.95,443
halothane,0.8020364741641337,1000.0,fly,P1_ER,1.0,42
halothane,0.9227051671732523,500.0,fly,P1_ER,0.96,331
halothane,0.7929179331306989,1000.0,fly,P1_ER,1.0,137
halothane,0.7989969604863221,1000.0,fly,P1_ER,1.0,219
halothane,0.8019756838905775,1000.0,fly,P1_ER,1.0,331
halothane,0.8064741641337387,1000.0,fly,P1_ER,1.0,443
halothane,0.7014893617021278,3000.0,fly,P1_ER,1.0,42
halothane,0.6934650455927052,3000.0,fly,P1_ER,1.0,137
halothane,0.7009422492401217,3000.0,fly,P1_ER,1.0,331
halothane,0.6946504559270515,3000.0,fly,P1_ER,1.0,219
halothane,0.7006382978723404,3000.0,fly,P1_ER,1.0,443
cis_12_dichloroethylene,1.7150151975683892,30.0,fly,P1_ER,0.0,42
cis_12_dichloroethylene,1.695987841945289,30.0,fly,P1_ER,0.0,137
cis_12_dichloroethylene,1.699088145896656,30.0,fly,P1_ER,0.0,219
cis_12_dichloroethylene,1.7074164133738605,30.0,fly,P1_ER,0.0,331
cis_12_dichloroethylene,1.7002735562310034,30.0,fly,P1_ER,0.0,443
cis_12_dichloroethylene,1.589696048632219,100.0,fly,P1_ER,0.0,42
cis_12_dichloroethylene,1.5742249240121584,100.0,fly,P1_ER,0.0,137
cis_12_dichloroethylene,1.5786018237082067,100.0,fly,P1_ER,0.0,219
cis_12_dichloroethylene,1.5853799392097263,100.0,fly,P1_ER,0.0,331
cis_12_dichloroethylene,1.5827355623100305,100.0,fly,P1_ER,0.0,443
cis_12_dichloroethylene,1.3631306990881455,300.0,fly,P1_ER,0.0,42
cis_12_dichloroethylene,1.3457750759878422,300.0,fly,P1_ER,0.0,137
cis_12_dichloroethylene,1.3535866261398177,300.0,fly,P1_ER,0.0,219
cis_12_dichloroethylene,1.3574468085106384,300.0,fly,P1_ER,0.0,331
cis_12_dichloroethylene,1.3583890577507598,300.0,fly,P1_ER,0.0,443
cis_12_dichloroethylene,1.053465045592705,1000.0,fly,P1_ER,0.15,42
cis_12_dichloroethylene,1.035744680851064,1000.0,fly,P1_ER,0.31,137
cis_12_dichloroethylene,1.0465349544072948,1000.0,fly,P1_ER,0.21,219
cis_12_dichloroethylene,1.050273556231003,1000.0,fly,P1_ER,0.17,331
cis_12_dichloroethylene,1.0523708206686928,1000.0,fly,P1_ER,0.17,443
cis_12_dichloroethylene,0.8557446808510639,3000.0,fly,P1_ER,1.0,42
cis_12_dichloroethylene,0.8423404255319149,3000.0,fly,P1_ER,1.0,137
cis_12_dichloroethylene,0.8527355623100304,3000.0,fly,P1_ER,1.0,331
cis_12_dichloroethylene,0.8485410334346504,3000.0,fly,P1_ER,1.0,219
cis_12_dichloroethylene,0.856079027355623,3000.0,fly,P1_ER,1.0,443
cis_12_dichloroethylene,0.759209726443769,10000.0,fly,P1_ER,1.0,42
cis_12_dichloroethylene,0.7509726443768997,10000.0,fly,P1_ER,1.0,137
cis_12_dichloroethylene,0.7535562310030397,10000.0,fly,P1_ER,1.0,219
cis_12_dichloroethylene,0.7593920972644377,10000.0,fly,P1_ER,1.0,331
cis_12_dichloroethylene,0.7617021276595745,10000.0,fly,P1_ER,1.0,443
cis_12_dichloroethylene,0.7290881458966565,30000.0,fly,P1_ER,1.0,42
cis_12_dichloroethylene,0.7202431610942248,30000.0,fly,P1_ER,1.0,137
cis_12_dichloroethylene,0.7232826747720366,30000.0,fly,P1_ER,1.0,219
cis_12_dichloroethylene,0.7279331306990882,30000.0,fly,P1_ER,1.0,331
cis_12_dichloroethylene,0.7291185410334345,30000.0,fly,P1_ER,1.0,443
trans_12_dichloroethylene,1.775227963525836,30.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.7570820668693008,30.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.761641337386018,30.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.7703951367781159,30.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.7600303951367777,30.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.7703343465045591,100.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.7525835866261397,100.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.7568693009118541,100.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.7650759878419455,100.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.7554407294832826,100.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.7575379939209728,300.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.7401215805471124,300.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.7436778115501517,300.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.7523100303951364,300.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.7429787234042555,300.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.7247720364741639,1000.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.707446808510638,1000.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.7093920972644374,1000.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.7182066869300914,1000.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.710851063829787,1000.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.673677811550152,3000.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.654164133738602,3000.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.6578115501519752,3000.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.667841945288754,3000.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.6606079027355625,3000.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.6182674772036476,10000.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.6010942249240123,10000.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.6046808510638297,10000.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.6093009118541033,10000.0,fly,P1_ER,0.0,443
trans_12_dichloroethylene,1.5910030395136778,30000.0,fly,P1_ER,0.0,42
trans_12_dichloroethylene,1.6134346504559272,10000.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.5759270516717325,30000.0,fly,P1_ER,0.0,137
trans_12_dichloroethylene,1.579696048632219,30000.0,fly,P1_ER,0.0,219
trans_12_dichloroethylene,1.5858966565349544,30000.0,fly,P1_ER,0.0,331
trans_12_dichloroethylene,1.5827355623100303,30000.0,fly,P1_ER,0.0,443
hexafluoroethane,1.7762613981762916,30.0,fly,P1_ER,0.0,42
hexafluoroethane,1.7578723404255316,30.0,fly,P1_ER,0.0,137
hexafluoroethane,1.762370820668693,30.0,fly,P1_ER,0.0,219
hexafluoroethane,1.7607598784194527,30.0,fly,P1_ER,0.0,443
hexafluoroethane,1.7731610942249239,100.0,fly,P1_ER,0.0,42
hexafluoroethane,1.7553495440729483,100.0,fly,P1_ER,0.0,137
hexafluoroethane,1.7712765957446812,30.0,fly,P1_ER,0.0,331
hexafluoroethane,1.7598176291793315,100.0,fly,P1_ER,0.0,219
hexafluoroethane,1.7680851063829786,100.0,fly,P1_ER,0.0,331
hexafluoroethane,1.7582370820668694,100.0,fly,P1_ER,0.0,443
